groupNumber,d_day,d_airlane,d_number,d_departure,d_time,d_destination,d_time2,b_day,b_airlane,b_number,b_departure,b_time,b_destination,b_time2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LZN03200624A,1,立榮航空,B78731,台中清泉岡機場,2020/06/24 11:50,馬祖南竿機場,2020/06/24 12:55,3,立榮航空,B78732,馬祖南竿機場,2020/06/26 13:30,台中清泉岡機場,2020/06/26 14:35
HAN05200624A,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
HAN05200624B,1,越捷航空,VJ949,台中清泉岡機場,2020/06/24 17:15,河內機場,2020/06/24 19:05,5,越捷航空,VJ948,河內機場,2020/06/28 12:45,台中清泉岡機場,2020/06/28 16:15
OKA05200624B,1,亞航 X,D7384,桃園國際機場,2020/06/24 13:20,沖繩機場,2020/06/24 16:00,5,亞航 X,D7385,沖繩機場,2020/06/28 17:30,桃園國際機場,2020/06/28 18:10
HAN05200625C,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625A,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
HAN05200625D,1,越捷航空,VJ949,台中清泉岡機場,2020/06/25 17:15,河內機場,2020/06/25 19:05,5,越捷航空,VJ948,河內機場,2020/06/29 12:45,台中清泉岡機場,2020/06/29 16:15
HAN05200625B,1,越竹,QH511,桃園國際機場,2020/06/25 20:35,河內機場,2020/06/25 23:35,5,越竹,QH510,河內機場,2020/06/29 15:35,桃園國際機場,2020/06/29 19:35
PEN05200625A,1,星宇航空,JX721,桃園國際機場,2020/06/25 09:30,檳城機場,2020/06/25 13:50,5,星宇航空,JX722,檳城機場,2020/06/29 15:00,桃園國際機場,2020/06/29 20:00
