days,groupNumber,price,title,travel_agency
1天,TWN01200624A,1599,大文化小旅行 林間慢悠遊深度一日遊,世興旅行社
2天1夜,TWN02200624G,4980,台版合掌村.寒溪呢.雲嶺之丘.萬年峽谷二日遊,世興旅行社
3天2夜,LZN03200624A,12000,馬祖卡蹓趣3日遊,世興旅行社
5天4夜,HAN05200624A,20000,越來越超值北越長安雙龍灣五日遊(越捷-台中出發)),世興旅行社
5天4夜,HAN05200624B,22500,越來越嗨北越雙龍灣摩天輪五日遊(越捷-台中出發),世興旅行社
5天4夜,OKA05200624B,26900,亞航享戀沖繩~海洋博公園、瀨長島五天【桃園直飛、亞洲航空】,世興旅行社
2天1夜,TWN02200625A,5800,【端午連假】塔山下的山豬部落.寒溪呢.萬年峽谷~原風二日遊,世興旅行社
2天1夜,TWN02200625D,6380,【端午連假】梨山+武陵農場+福壽山農場二日遊,世興旅行社
3天2夜,TWN03200625C,8700,【端午連假】花蓮~東縱谷+海岸 賞鯨、泛舟、太魯閣3日(台北出發)		,世興旅行社
5天4夜,HAN05200625C,18500,越來越超值北越長安雙龍灣五日遊(越捷-台中出發)),世興旅行社
5天4夜,HAN05200625A,19500,越竹超值北越長安雙龍灣五日遊(台北出發),世興旅行社
5天4夜,HAN05200625D,21000,越來越嗨北越雙龍灣摩天輪五日遊(越捷-台中出發),世興旅行社
5天4夜,HAN05200625B,21500,越竹嗨翻北越長安雙龍灣摩天輪下午茶五日遊~台北出發,世興旅行社
5天4夜,PEN05200625A,29500,漫遊檳城×邦喀島5日~怡保老街巡禮+迷失樂園溫泉SPA渡假村-星宇,世興旅行社
2天1夜,TWN02200626C,6980,【端午連假】梨山+武陵農場+福壽山農場二日遊(台北出發),世興旅行社
3天2夜,TWN03200626B,8900,【端午連假】台東縱谷+海岸  山海全覽3日[原民風],世興旅行社
3天2夜,TWN03200626D,11000,【端午連假】太平山見晴懷古.安農溪泛舟.龜山島賞鯨豚3日遊,世興旅行社
5天4夜,HAN05200626A,18500,越來越超值北越長安雙龍灣五日遊(越捷-台中出發)),世興旅行社
4天3夜,OKA04200626H,19900,嗨翻沖繩~海洋博公園、古宇利大橋、美國村四天【亞洲航空】,世興旅行社
5天4夜,HAN05200626B,21000,越來越嗨北越雙龍灣摩天輪五日遊(越捷-台中出發),世興旅行社
1天,TWN01200624A,1599,大文化小旅行 林間慢悠遊深度一日遊,世興旅行社
2天1夜,TWN02200624G,4980,台版合掌村.寒溪呢.雲嶺之丘.萬年峽谷二日遊,世興旅行社
3天2夜,LZN03200624A,12000,馬祖卡蹓趣3日遊,世興旅行社
5天4夜,HAN05200624A,20000,越來越超值北越長安雙龍灣五日遊(越捷-台中出發)),世興旅行社
5天4夜,HAN05200624B,22500,越來越嗨北越雙龍灣摩天輪五日遊(越捷-台中出發),世興旅行社
5天4夜,OKA05200624B,26900,亞航享戀沖繩~海洋博公園、瀨長島五天【桃園直飛、亞洲航空】,世興旅行社
2天1夜,TWN02200625A,5800,【端午連假】塔山下的山豬部落.寒溪呢.萬年峽谷~原風二日遊,世興旅行社
2天1夜,TWN02200625D,6380,【端午連假】梨山+武陵農場+福壽山農場二日遊,世興旅行社
3天2夜,TWN03200625C,8700,【端午連假】花蓮~東縱谷+海岸 賞鯨、泛舟、太魯閣3日(台北出發)		,世興旅行社
5天4夜,HAN05200625C,18500,越來越超值北越長安雙龍灣五日遊(越捷-台中出發)),世興旅行社
